race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Bahrain Grand Prix,VER,Red Bull Racing,1.0,97.284,32.40200000000001,41.266,23.616,SOFT,4.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,LEC,Ferrari,1.0,98.271,33.087,41.549,23.635,SOFT,4.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,RUS,Mercedes,1.0,99.228,33.435,42.099,23.694,SOFT,4.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,PER,Red Bull Racing,1.0,100.053,33.586999999999996,42.61,23.856,SOFT,4.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,SAI,Ferrari,1.0,100.62,33.99400000000001,42.861,23.765,SOFT,4.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,ALO,Aston Martin,1.0,101.679,34.249,43.268,24.162,SOFT,4.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,NOR,McLaren,1.0,102.168,34.61500000000001,43.309,24.244,SOFT,4.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,PIA,McLaren,1.0,102.523,34.809999999999995,43.573,24.14,SOFT,4.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,HAM,Mercedes,1.0,103.122,35.12,43.609,24.393,SOFT,4.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,TSU,RB,1.0,103.485,35.298,43.842,24.345,SOFT,1.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,ALB,Williams,1.0,103.888,35.50300000000001,44.007,24.378,SOFT,1.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,MAG,Haas F1 Team,1.0,104.349,35.762,44.375,24.212,SOFT,1.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,ZHO,Kick Sauber,1.0,104.801,36.931,43.576,24.294,SOFT,1.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,RIC,RB,1.0,105.668,38.05800000000001,43.159,24.451,SOFT,4.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,SAR,Williams,1.0,105.921,38.581,43.162,24.178,SOFT,1.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,OCO,Alpine,1.0,106.657,38.85199999999999,43.42,24.385,SOFT,1.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,GAS,Alpine,1.0,107.24,39.142999999999994,43.704,24.393,SOFT,1.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,BOT,Kick Sauber,1.0,108.536,40.67700000000001,43.737,24.122,SOFT,1.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,STR,Aston Martin,1.0,110.214,41.47699999999999,44.4,24.337,SOFT,1.0,1.0,0,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,HUL,Haas F1 Team,1.0,113.555,40.24400000000001,45.619,27.692,SOFT,1.0,1.0,1,18.3,23.8,False,0,0,0,0
Bahrain Grand Prix,VER,Red Bull Racing,2.0,96.296,30.916,41.661,23.719,SOFT,5.0,1.0,0,,,,0,0,0,0
