race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Chinese Grand Prix,VER,Red Bull Racing,1.0,101.528,28.583000000000013,29.65,43.295,MEDIUM,1.0,1.0,0,18.8,31.1,False,0,0,0,0
Chinese Grand Prix,ALO,Aston Martin,1.0,103.173,28.976,30.575,43.622,MEDIUM,1.0,1.0,0,18.8,31.1,False,0,0,0,0
Chinese Grand Prix,PER,Red Bull Racing,1.0,103.97,29.163999999999994,31.037,43.769,MEDIUM,1.0,1.0,0,18.8,31.1,False,0,0,0,0
Chinese Grand Prix,NOR,McLaren,1.0,104.524,29.432000000000002,31.161,43.931,MEDIUM,1.0,1.0,0,18.8,31.1,False,0,0,0,0
Chinese Grand Prix,PIA,McLaren,1.0,105.121,29.96199999999999,31.108,44.051,MEDIUM,1.0,1.0,0,18.8,31.1,False,0,0,0,0
Chinese Grand Prix,RUS,Mercedes,1.0,105.746,30.317999999999998,31.11,44.318,MEDIUM,1.0,1.0,0,18.8,31.1,False,0,0,0,0
Chinese Grand Prix,LEC,Ferrari,1.0,106.488,30.411,31.934,44.143,MEDIUM,1.0,1.0,0,18.8,31.1,False,0,0,0,0
Chinese Grand Prix,HUL,Haas F1 Team,1.0,107.041,30.866,31.163,45.012,MEDIUM,1.0,1.0,0,18.8,31.1,False,0,0,0,0
Chinese Grand Prix,SAI,Ferrari,1.0,107.147,30.84700000000001,31.937,44.363,MEDIUM,1.0,1.0,0,18.8,31.1,False,0,0,0,0
Chinese Grand Prix,STR,Aston Martin,1.0,107.73,31.259000000000007,31.755,44.716,SOFT,1.0,1.0,0,18.8,31.1,False,0,0,0,0
Chinese Grand Prix,BOT,Kick Sauber,1.0,108.149,31.06199999999999,32.27,44.817,MEDIUM,1.0,1.0,0,18.8,31.1,False,0,0,0,0
Chinese Grand Prix,OCO,Alpine,1.0,108.897,31.61800000000001,32.258,45.021,MEDIUM,1.0,1.0,0,18.8,31.1,False,0,0,0,0
Chinese Grand Prix,ALB,Williams,1.0,109.364,31.710000000000008,32.431,45.223,MEDIUM,1.0,1.0,0,18.8,31.1,False,0,0,0,0
Chinese Grand Prix,GAS,Alpine,1.0,109.907,32.185,32.305,45.417,MEDIUM,1.0,1.0,0,18.8,31.1,False,0,0,0,0
Chinese Grand Prix,RIC,RB,1.0,110.255,32.18,32.624,45.451,MEDIUM,1.0,1.0,0,18.8,31.1,False,0,0,0,0
