race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Dutch Grand Prix,VER,Red Bull Racing,1.0,79.915,30.077000000000005,26.881,22.957,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,NOR,McLaren,1.0,80.878,30.674000000000003,27.269,22.935,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,RUS,Mercedes,1.0,81.729,31.457,27.321,22.951,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,PIA,McLaren,1.0,82.638,31.818000000000005,27.537,23.283,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,LEC,Ferrari,1.0,83.322,32.009,28.03,23.283,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,PER,Red Bull Racing,1.0,83.931,32.26,28.326,23.345,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,GAS,Alpine,1.0,84.654,32.653999999999996,28.337,23.663,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,ALO,Aston Martin,1.0,84.726,32.935,28.36,23.431,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,SAI,Ferrari,1.0,85.474,33.363,28.354,23.757,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,STR,Aston Martin,1.0,85.703,33.136,28.966,23.601,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,HUL,Haas F1 Team,1.0,86.432,33.510000000000005,28.857,24.065,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,TSU,RB,1.0,86.878,33.68899999999999,28.736,24.453,SOFT,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,HAM,Mercedes,1.0,87.28,33.918000000000006,29.032,24.33,SOFT,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,BOT,Kick Sauber,1.0,87.361,34.14200000000001,28.903,24.316,SOFT,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,RIC,RB,1.0,87.95,34.447,29.124,24.379,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,OCO,Alpine,1.0,88.161,34.62400000000001,29.243,24.294,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,ALB,Williams,1.0,88.535,34.85499999999999,29.206,24.474,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,SAR,Williams,1.0,89.09,35.23700000000001,29.327,24.526,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,ZHO,Kick Sauber,1.0,89.615,35.479,29.713,24.423,MEDIUM,1.0,1.0,0,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,MAG,Haas F1 Team,1.0,90.772,40.084,27.238,23.45,HARD,1.0,1.0,1,18.7,28.9,False,0,0,0,0
Dutch Grand Prix,VER,Red Bull Racing,2.0,76.106,26.012,27.179,22.915,MEDIUM,2.0,1.0,0,18.6,28.5,False,0,0,0,0
Dutch Grand Prix,NOR,McLaren,2.0,76.134,26.061,27.155,22.918,MEDIUM,2.0,1.0,0,18.6,28.5,False,0,0,0,0
Dutch Grand Prix,RUS,Mercedes,2.0,76.389,26.349,27.159,22.881,MEDIUM,2.0,1.0,0,18.6,28.5,False,0,0,0,0
Dutch Grand Prix,PIA,McLaren,2.0,76.24,26.087,27.427,22.726,MEDIUM,2.0,1.0,0,18.6,28.5,False,0,0,0,0
Dutch Grand Prix,LEC,Ferrari,2.0,76.695,26.633,27.274,22.788,MEDIUM,2.0,1.0,0,18.6,28.5,False,0,0,0,0
Dutch Grand Prix,PER,Red Bull Racing,2.0,76.479,26.523,27.259,22.697,MEDIUM,2.0,1.0,0,18.6,28.5,False,0,0,0,0
Dutch Grand Prix,GAS,Alpine,2.0,76.896,26.403,27.576999999999998,22.916,MEDIUM,2.0,1.0,0,18.6,28.5,False,0,0,0,0
Dutch Grand Prix,ALO,Aston Martin,2.0,77.392,26.87,27.629,22.893,MEDIUM,2.0,1.0,0,18.6,28.5,False,0,0,0,0
Dutch Grand Prix,SAI,Ferrari,2.0,77.277,26.775,27.618,22.884,MEDIUM,2.0,1.0,0,18.6,28.5,False,0,0,0,0
Dutch Grand Prix,STR,Aston Martin,2.0,77.513,26.897,27.777,22.839,MEDIUM,2.0,1.0,0,18.6,28.5,False,0,0,0,0
Dutch Grand Prix,HUL,Haas F1 Team,2.0,77.461,26.645,27.826,22.99,MEDIUM,2.0,1.0,0,18.6,28.5,False,0,0,0,0
