race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Las Vegas Grand Prix,RUS,Mercedes,1.0,103.267,32.317999999999984,33.383,37.566,MEDIUM,2.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,LEC,Ferrari,1.0,103.882,32.961000000000006,33.67,37.251,MEDIUM,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,SAI,Ferrari,1.0,104.812,33.525,33.928,37.359,MEDIUM,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,GAS,Alpine,1.0,105.33,34.041,34.078,37.211,MEDIUM,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,VER,Red Bull Racing,1.0,105.917,34.47000000000001,34.022,37.425,MEDIUM,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,NOR,McLaren,1.0,106.792,34.88100000000001,34.55,37.361,MEDIUM,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,TSU,RB,1.0,107.34,35.494,34.524,37.322,MEDIUM,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,PIA,McLaren,1.0,108.433,35.83500000000001,35.155,37.443,MEDIUM,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,HUL,Haas F1 Team,1.0,108.675,35.913999999999994,35.533,37.228,MEDIUM,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,HAM,Mercedes,1.0,109.116,36.374,35.485,37.257,MEDIUM,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,OCO,Alpine,1.0,110.001,36.831,35.542,37.628,MEDIUM,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,ZHO,Kick Sauber,1.0,110.678,37.12299999999999,35.644,37.911,MEDIUM,2.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,LAW,RB,1.0,112.392,37.167,36.029,39.196,MEDIUM,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,MAG,Haas F1 Team,1.0,112.614,37.516999999999996,36.031,39.066,MEDIUM,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,ALO,Aston Martin,1.0,112.823,37.82099999999999,36.209,38.793,SOFT,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,ALB,Williams,1.0,113.147,38.75900000000001,36.196,38.192,MEDIUM,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,PER,Red Bull Racing,1.0,113.292,38.367,35.92,39.005,HARD,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,STR,Aston Martin,1.0,113.727,39.057,36.325,38.345,MEDIUM,2.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,BOT,Kick Sauber,1.0,114.609,39.317999999999984,36.886,38.405,HARD,1.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,COL,Williams,1.0,115.624,42.19799999999999,35.382,38.044,HARD,1.0,1.0,1,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,RUS,Mercedes,2.0,99.077,28.738,33.235,37.104,MEDIUM,3.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,LEC,Ferrari,2.0,99.333,29.011,33.345,36.977,MEDIUM,2.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,SAI,Ferrari,2.0,99.466,28.957,33.526,36.983,MEDIUM,2.0,1.0,0,18.0,18.2,False,0,0,0,0
Las Vegas Grand Prix,GAS,Alpine,2.0,99.956,29.441,33.48,37.035,MEDIUM,2.0,1.0,0,18.0,18.2,False,0,0,0,0
