race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Monaco Grand Prix,TSU,RB,2.0,148.277,25.893,41.12,81.264,HARD,2.0,2.0,1,21.6,48.6,False,0,0,0,0
Monaco Grand Prix,ALB,Williams,2.0,142.255,26.143,40.862,75.25,HARD,1.0,2.0,1,21.6,48.6,False,0,0,0,0
Monaco Grand Prix,GAS,Alpine,2.0,139.618,26.415,41.05,72.153,MEDIUM,1.0,2.0,1,21.6,48.6,False,0,0,0,0
Monaco Grand Prix,STR,Aston Martin,2.0,134.844,27.146,39.531,68.167,MEDIUM,2.0,2.0,1,21.6,48.6,False,0,0,0,0
Monaco Grand Prix,RIC,RB,2.0,130.108,27.153,42.359,60.596,HARD,2.0,2.0,1,21.6,48.6,False,0,0,0,0
Monaco Grand Prix,ALO,Aston Martin,2.0,124.571,27.874,40.625,56.072,MEDIUM,2.0,2.0,1,21.6,48.6,False,0,0,0,0
Monaco Grand Prix,SAR,Williams,2.0,121.235,26.633,39.728,54.874,HARD,2.0,2.0,1,21.6,48.6,False,0,0,0,0
Monaco Grand Prix,BOT,Kick Sauber,2.0,116.358,25.896,38.937,51.525,MEDIUM,1.0,2.0,1,21.6,48.6,False,0,0,0,0
Monaco Grand Prix,ZHO,Kick Sauber,2.0,112.131,28.552,39.859,43.72,HARD,1.0,2.0,1,21.6,48.6,False,0,0,0,0
Monaco Grand Prix,LEC,Ferrari,3.0,84.624,24.007,38.235,22.382,HARD,2.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,PIA,McLaren,3.0,84.953,23.96,38.571,22.422,HARD,3.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,SAI,Ferrari,3.0,85.012,24.363,38.522,22.127,HARD,2.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,NOR,McLaren,3.0,85.283,24.612,38.686,21.985,HARD,3.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,RUS,Mercedes,3.0,85.319,24.518,38.667,22.134,MEDIUM,2.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,VER,Red Bull Racing,3.0,85.744,24.715,38.86,22.169,MEDIUM,2.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,HAM,Mercedes,3.0,87.058,24.951,39.492,22.615,MEDIUM,2.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,TSU,RB,3.0,87.563,25.178,39.894,22.491,HARD,3.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,ALB,Williams,3.0,87.834,25.399,39.935,22.5,HARD,2.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,GAS,Alpine,3.0,88.269,25.566,40.15,22.553,MEDIUM,2.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,STR,Aston Martin,3.0,88.303,25.677,40.557,22.069,MEDIUM,3.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,ALO,Aston Martin,3.0,89.188,26.223,40.567,22.398,MEDIUM,3.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,RIC,RB,3.0,89.656,26.535,40.832,22.289,HARD,3.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,BOT,Kick Sauber,3.0,89.743,26.404,41.019,22.32,MEDIUM,2.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,SAR,Williams,3.0,90.077,26.856,40.929,22.292,HARD,3.0,2.0,0,21.6,49.2,False,0,0,0,0
Monaco Grand Prix,ZHO,Kick Sauber,3.0,90.396,26.896,41.393,22.107,HARD,2.0,2.0,0,21.6,49.2,False,0,0,0,0
