race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Abu Dhabi Grand Prix,VER,Red Bull Racing,1.0,91.677,20.82500000000001,38.489,32.363,MEDIUM,1.0,1.0,0,26.8,31.4,False,0,0,0,0
Abu Dhabi Grand Prix,PIA,McLaren,1.0,92.906,21.54700000000001,38.376,32.983,HARD,1.0,1.0,0,26.8,31.4,False,0,0,0,0
Abu Dhabi Grand Prix,NOR,McLaren,1.0,93.952,21.244999999999997,38.68,34.027,MEDIUM,1.0,1.0,0,26.8,31.4,False,0,0,0,0
Abu Dhabi Grand Prix,LEC,Ferrari,1.0,94.624,21.933,38.861,33.83,MEDIUM,1.0,1.0,0,26.8,31.4,False,0,0,0,0
Abu Dhabi Grand Prix,ALO,Aston Martin,1.0,94.98,22.152000000000008,38.662,34.166,MEDIUM,2.0,1.0,0,26.8,31.4,False,0,0,0,0
Abu Dhabi Grand Prix,RUS,Mercedes,1.0,95.453,22.510000000000005,39.053,33.89,MEDIUM,1.0,1.0,0,26.8,31.4,False,0,0,0,0
Abu Dhabi Grand Prix,BOR,Kick Sauber,1.0,95.941,22.808999999999997,39.142,33.99,MEDIUM,1.0,1.0,0,26.8,31.4,False,0,0,0,0
Abu Dhabi Grand Prix,HAD,Racing Bulls,1.0,96.661,22.982999999999997,39.231,34.447,MEDIUM,1.0,1.0,0,26.8,31.4,False,0,0,0,0
Abu Dhabi Grand Prix,OCO,Haas F1 Team,1.0,97.07,23.092999999999996,39.668,34.309,MEDIUM,1.0,1.0,0,26.8,31.4,False,0,0,0,0
Abu Dhabi Grand Prix,TSU,Red Bull Racing,1.0,97.567,23.337999999999994,39.515,34.714,HARD,1.0,1.0,0,26.8,31.4,False,0,0,0,0
Abu Dhabi Grand Prix,LAW,Racing Bulls,1.0,98.029,23.495999999999995,39.405,35.128,MEDIUM,1.0,1.0,0,26.8,31.4,False,0,0,0,0
Abu Dhabi Grand Prix,BEA,Haas F1 Team,1.0,98.391,23.861000000000004,39.226,35.304,MEDIUM,1.0,1.0,0,26.8,31.4,False,0,0,0,0
Abu Dhabi Grand Prix,SAI,Williams,1.0,99.01,23.838000000000008,39.538,35.634,MEDIUM,1.0,1.0,0,26.8,31.4,False,0,0,0,0
