race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Australian Grand Prix,NOR,McLaren,1.0,117.099,42.17900000000001,20.913,54.007,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,VER,Red Bull Racing,1.0,119.392,43.437,20.705,55.25,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,PIA,McLaren,1.0,120.807,43.907,20.844,56.056,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,RUS,Mercedes,1.0,124.644,44.684000000000005,21.03,58.93,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,LEC,Ferrari,1.0,128.48,45.215999999999994,20.69,62.574,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,TSU,Racing Bulls,1.0,130.655,45.377,21.598,63.68,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,ALB,Williams,1.0,132.195,45.83399999999999,21.334,65.027,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,HAM,Ferrari,1.0,132.883,46.60800000000002,21.082,65.193,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,GAS,Alpine,1.0,134.132,46.82300000000001,21.554,65.755,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,ALO,Aston Martin,1.0,137.178,47.973,22.171,67.034,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,STR,Aston Martin,1.0,139.485,48.87100000000001,22.125,68.489,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,HUL,Kick Sauber,1.0,141.221,49.998000000000005,22.276,68.947,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,ANT,Mercedes,1.0,142.352,50.157,22.829,69.366,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,BOR,Kick Sauber,1.0,144.063,50.53299999999999,23.185,70.345,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,OCO,Haas F1 Team,1.0,145.769,51.370999999999995,26.46,67.938,INTERMEDIATE,1.0,1.0,0,15.8,19.2,False,0,0,0,0
Australian Grand Prix,LAW,Red Bull Racing,1.0,148.795,53.701999999999984,30.971,64.122,INTERMEDIATE,1.0,1.0,1,15.8,19.2,False,0,0,0,0
Australian Grand Prix,BEA,Haas F1 Team,1.0,149.413,55.161000000000016,32.85,61.402,INTERMEDIATE,1.0,1.0,1,15.8,19.2,False,0,0,0,0
Australian Grand Prix,NOR,McLaren,5.0,143.648,53.992,31.669,57.987,INTERMEDIATE,5.0,4.0,1,15.8,19.0,False,0,0,0,0
Australian Grand Prix,VER,Red Bull Racing,5.0,143.609,53.513,32.627,57.469,INTERMEDIATE,5.0,4.0,1,15.8,19.0,False,0,0,0,0
Australian Grand Prix,PIA,McLaren,5.0,143.155,53.433,32.176,57.546,INTERMEDIATE,5.0,4.0,1,15.8,19.0,False,0,0,0,0
