race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Austrian Grand Prix,NOR,McLaren,1.0,88.861,20.626000000000005,31.326,36.909,MEDIUM,1.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,PIA,McLaren,1.0,90.706,20.694000000000003,31.807,38.205,MEDIUM,1.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,LEC,Ferrari,1.0,94.202,21.141,32.122,40.939,MEDIUM,1.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,HAM,Ferrari,1.0,96.74,21.364999999999995,32.125,43.25,MEDIUM,1.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,RUS,Mercedes,1.0,97.687,21.341,32.252,44.094,MEDIUM,1.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,GAS,Alpine,1.0,100.322,22.296000000000006,32.568,45.458,SOFT,4.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,ALB,Williams,1.0,102.177,22.833000000000013,32.657,46.687,MEDIUM,1.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,BOR,Kick Sauber,1.0,102.691,21.969,33.604,47.118,MEDIUM,1.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,LAW,Racing Bulls,1.0,104.886,21.908,34.157,48.821,MEDIUM,1.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,ALO,Aston Martin,1.0,105.927,22.74600000000001,33.672,49.509,MEDIUM,2.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,COL,Alpine,1.0,107.783,23.174000000000014,33.757,50.852,SOFT,1.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,BEA,Haas F1 Team,1.0,109.434,23.022,34.136,52.276,SOFT,1.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,STR,Aston Martin,1.0,110.757,23.360000000000007,33.827,53.57,MEDIUM,2.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,OCO,Haas F1 Team,1.0,111.782,24.045999999999992,33.57,54.166,MEDIUM,1.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,TSU,Red Bull Racing,1.0,114.268,23.20499999999999,35.103,55.96,MEDIUM,1.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,HAD,Racing Bulls,1.0,117.087,23.081000000000003,35.265,58.741,SOFT,1.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,HUL,Kick Sauber,1.0,118.625,23.532999999999994,34.93,60.162,SOFT,1.0,1.0,0,30.2,48.6,False,0,0,0,0
Austrian Grand Prix,NOR,McLaren,2.0,114.426,26.438,53.661,34.327,MEDIUM,2.0,1.0,0,30.4,49.3,False,0,0,0,0
Austrian Grand Prix,PIA,McLaren,2.0,113.508,26.102,53.522,33.884,MEDIUM,2.0,1.0,0,30.4,49.3,False,0,0,0,0
Austrian Grand Prix,LEC,Ferrari,2.0,111.532,24.098,53.387,34.047,MEDIUM,2.0,1.0,0,30.4,49.3,False,0,0,0,0
Austrian Grand Prix,HAM,Ferrari,2.0,110.441,22.822,53.146,34.473,MEDIUM,2.0,1.0,0,30.4,49.3,False,0,0,0,0
Austrian Grand Prix,RUS,Mercedes,2.0,111.333,23.139,53.535,34.659,MEDIUM,2.0,1.0,0,30.4,49.3,False,0,0,0,0
Austrian Grand Prix,GAS,Alpine,2.0,110.256,21.163,54.171,34.922,SOFT,5.0,1.0,0,30.4,49.3,False,0,0,0,0
Austrian Grand Prix,ALB,Williams,2.0,109.602,23.481,50.86,35.261,MEDIUM,2.0,1.0,0,30.4,49.3,False,0,0,0,0
Austrian Grand Prix,BOR,Kick Sauber,2.0,109.849,24.871,49.454,35.524,MEDIUM,2.0,1.0,0,30.4,49.3,False,0,0,0,0
Austrian Grand Prix,LAW,Racing Bulls,2.0,108.551,24.568,49.046,34.937,MEDIUM,2.0,1.0,0,30.4,49.3,False,0,0,0,0
Austrian Grand Prix,ALO,Aston Martin,2.0,108.453,25.163,49.165,34.125,MEDIUM,3.0,1.0,0,30.4,49.3,False,0,0,0,0
Austrian Grand Prix,COL,Alpine,2.0,107.447,24.346,49.316,33.785,SOFT,2.0,1.0,0,30.4,49.3,False,0,0,0,0
Austrian Grand Prix,BEA,Haas F1 Team,2.0,107.141,25.437,47.617,34.087,SOFT,2.0,1.0,0,30.4,49.3,False,0,0,0,0
Austrian Grand Prix,STR,Aston Martin,2.0,107.622,25.121,47.951,34.55,MEDIUM,3.0,1.0,0,30.4,49.3,False,0,0,0,0
Austrian Grand Prix,OCO,Haas F1 Team,2.0,107.393,25.449,47.53,34.414,MEDIUM,2.0,1.0,0,30.4,49.3,False,0,0,0,0
