race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Bahrain Grand Prix,PIA,McLaren,1.0,98.693,32.607,42.13,23.956,SOFT,4.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,RUS,Mercedes,1.0,99.582,33.456999999999994,42.305,23.82,SOFT,4.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,NOR,McLaren,1.0,100.424,33.964000000000006,42.491,23.969,SOFT,4.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,LEC,Ferrari,1.0,101.332,34.13199999999999,43.164,24.036,MEDIUM,1.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,GAS,Alpine,1.0,102.05,34.958,42.9,24.192,SOFT,4.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,SAI,Williams,1.0,102.77,35.336,43.37,24.064,SOFT,4.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,ANT,Mercedes,1.0,103.363,34.934,44.112,24.317,SOFT,4.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,VER,Red Bull Racing,1.0,103.877,35.519999999999996,43.964,24.393,SOFT,4.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,HAM,Ferrari,1.0,104.568,35.843999999999994,44.052,24.672,MEDIUM,1.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,TSU,Red Bull Racing,1.0,104.935,36.443,43.866,24.626,SOFT,4.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,DOO,Alpine,1.0,105.172,36.706999999999994,43.936,24.529,SOFT,1.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,ALO,Aston Martin,1.0,105.786,36.763999999999996,44.353,24.669,MEDIUM,1.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,OCO,Haas F1 Team,1.0,106.156,37.053000000000004,44.392,24.711,SOFT,1.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,ALB,Williams,1.0,106.629,37.02900000000001,44.973,24.627,SOFT,1.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,BEA,Haas F1 Team,1.0,106.874,37.51299999999999,44.929,24.432,SOFT,1.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,HAD,Racing Bulls,1.0,108.113,37.275,46.177,24.661,SOFT,1.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,LAW,Racing Bulls,1.0,108.467,37.848,45.461,25.158,MEDIUM,1.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,STR,Aston Martin,1.0,108.838,38.266999999999996,45.459,25.112,SOFT,1.0,1.0,0,27.2,31.9,False,0,0,0,0
Bahrain Grand Prix,BOR,Kick Sauber,1.0,109.307,38.05,45.871,25.386,MEDIUM,1.0,1.0,0,27.2,31.9,False,0,0,0,0
