race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Belgian Grand Prix,NOR,McLaren,1.0,184.619,53.988,84.158,46.473,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,PIA,McLaren,1.0,185.558,55.83699999999999,82.953,46.768,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,LEC,Ferrari,1.0,188.456,56.965999999999994,82.6,48.89,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,VER,Red Bull Racing,1.0,190.061,58.695,82.808,48.558,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,ALB,Williams,1.0,191.296,59.733999999999995,84.062,47.5,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,RUS,Mercedes,1.0,193.707,62.472999999999985,83.647,47.587,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,TSU,Red Bull Racing,1.0,195.676,66.57799999999999,81.848,47.25,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,HAD,Racing Bulls,1.0,196.869,72.18700000000001,78.19,46.492,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,LAW,Racing Bulls,1.0,198.369,75.74600000000001,76.101,46.522,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,BOR,Kick Sauber,1.0,199.512,82.012,70.904,46.596,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,OCO,Haas F1 Team,1.0,201.517,86.82500000000002,67.371,47.321,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,BEA,Haas F1 Team,1.0,201.972,90.13300000000002,66.42,45.419,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,GAS,Alpine,1.0,204.447,91.92000000000002,66.253,46.274,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,HUL,Kick Sauber,1.0,206.488,98.315,62.84,45.333,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,COL,Alpine,1.0,207.44,100.059,62.702,44.679,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,STR,Aston Martin,1.0,209.116,102.74900000000002,62.5,43.867,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,SAI,Williams,1.0,211.318,107.78000000000002,59.487,44.051,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,HAM,Ferrari,1.0,213.712,113.399,61.046,39.267,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,ANT,Mercedes,1.0,216.399,117.62200000000001,59.266,39.511,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,ALO,Aston Martin,1.0,218.679,121.356,61.18,36.143,INTERMEDIATE,1.0,1.0,1,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,PIA,McLaren,5.0,119.092,32.95,54.45,31.692,INTERMEDIATE,5.0,1.0,0,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,NOR,McLaren,5.0,120.568,33.49,55.624,31.454,INTERMEDIATE,5.0,1.0,0,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,LEC,Ferrari,5.0,120.463,32.971,56.048,31.444,INTERMEDIATE,5.0,1.0,0,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,VER,Red Bull Racing,5.0,120.696,33.16,55.955,31.581,INTERMEDIATE,5.0,1.0,0,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,ALB,Williams,5.0,121.343,33.28,56.415,31.648,INTERMEDIATE,5.0,1.0,0,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,RUS,Mercedes,5.0,121.47,33.384,56.526,31.56,INTERMEDIATE,5.0,1.0,0,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,TSU,Red Bull Racing,5.0,122.398,33.974,56.431,31.993,INTERMEDIATE,5.0,1.0,0,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,HAD,Racing Bulls,5.0,122.531,33.726,57.058,31.747,INTERMEDIATE,5.0,1.0,0,17.6,25.1,False,0,0,0,0
Belgian Grand Prix,LAW,Racing Bulls,5.0,122.728,33.627,57.587,31.514,INTERMEDIATE,5.0,1.0,0,17.6,25.1,False,0,0,0,0
