race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
British Grand Prix,VER,Red Bull Racing,1.0,105.82,35.192,41.707,28.921,INTERMEDIATE,1.0,1.0,0,18.3,24.1,False,0,0,1,0
British Grand Prix,PIA,McLaren,1.0,106.554,36.11299999999999,41.49,28.951,INTERMEDIATE,1.0,1.0,0,18.3,24.1,False,0,0,1,0
British Grand Prix,NOR,McLaren,1.0,108.196,36.349,42.322,29.525,INTERMEDIATE,1.0,1.0,0,18.3,24.1,False,0,0,1,0
British Grand Prix,HAM,Ferrari,1.0,108.827,36.65700000000001,42.254,29.916,INTERMEDIATE,1.0,1.0,0,18.3,24.1,False,0,0,1,0
British Grand Prix,GAS,Alpine,1.0,109.058,37.215,42.619,29.224,INTERMEDIATE,1.0,1.0,0,18.3,24.1,False,0,0,1,0
British Grand Prix,ALO,Aston Martin,1.0,110.468,37.43800000000001,43.067,29.963,INTERMEDIATE,1.0,1.0,0,18.3,24.1,False,0,0,1,0
British Grand Prix,SAI,Williams,1.0,111.254,37.891000000000005,43.19,30.173,INTERMEDIATE,1.0,1.0,0,18.3,24.1,False,0,0,1,0
British Grand Prix,ANT,Mercedes,1.0,111.613,38.730000000000004,42.82,30.063,INTERMEDIATE,1.0,1.0,0,18.3,24.1,False,0,0,1,0
British Grand Prix,ALB,Williams,1.0,112.18,38.836,43.343,30.001,INTERMEDIATE,1.0,1.0,0,18.3,24.1,False,0,0,1,0
British Grand Prix,TSU,Red Bull Racing,1.0,112.897,40.04599999999999,42.999,29.852,INTERMEDIATE,1.0,1.0,0,18.3,24.1,False,0,0,1,0
British Grand Prix,HUL,Kick Sauber,1.0,113.433,40.550000000000004,43.027,29.856,INTERMEDIATE,1.0,1.0,0,18.3,24.1,False,0,0,1,0
British Grand Prix,STR,Aston Martin,1.0,114.213,40.483000000000004,43.719,30.011,INTERMEDIATE,1.0,1.0,0,18.3,24.1,False,0,0,1,0
British Grand Prix,OCO,Haas F1 Team,1.0,114.646,41.441,43.16,30.045,INTERMEDIATE,1.0,1.0,0,18.3,24.1,False,0,0,1,0
British Grand Prix,RUS,Mercedes,1.0,130.567,46.392,46.483,37.692,HARD,1.0,1.0,1,18.3,24.1,False,0,0,1,0
British Grand Prix,LEC,Ferrari,1.0,131.978,47.892,46.019,38.067,MEDIUM,1.0,1.0,1,18.5,24.5,False,0,0,1,0
British Grand Prix,HAD,Racing Bulls,1.0,133.171,49.49899999999999,45.799,37.873,MEDIUM,1.0,1.0,1,18.5,24.5,False,0,0,1,0
British Grand Prix,BOR,Kick Sauber,1.0,135.202,50.393,46.265,38.544,MEDIUM,1.0,1.0,1,18.5,24.5,False,0,0,1,0
British Grand Prix,BEA,Haas F1 Team,1.0,136.342,50.82200000000002,46.851,38.669,HARD,1.0,1.0,1,18.5,24.5,False,0,0,1,0
British Grand Prix,VER,Red Bull Racing,2.0,135.598,45.755,53.7,36.143,INTERMEDIATE,2.0,1.0,0,18.5,24.5,False,0,0,0,0
British Grand Prix,PIA,McLaren,2.0,135.131,48.156,51.266,35.709,INTERMEDIATE,2.0,1.0,0,18.5,24.5,False,0,0,0,0
British Grand Prix,NOR,McLaren,2.0,136.245,49.795,49.624,36.826,INTERMEDIATE,2.0,1.0,0,18.5,24.5,False,0,0,0,0
British Grand Prix,ANT,Mercedes,2.0,133.229,57.948,46.64,28.641,INTERMEDIATE,2.0,1.0,1,18.5,24.5,False,0,0,0,0
British Grand Prix,HAM,Ferrari,2.0,137.611,52.654,49.054,35.903,INTERMEDIATE,2.0,1.0,0,18.5,24.5,False,0,0,0,0
British Grand Prix,GAS,Alpine,2.0,138.221,54.906,48.049,35.266,INTERMEDIATE,2.0,1.0,0,18.5,24.5,False,0,0,0,0
British Grand Prix,ALO,Aston Martin,2.0,137.676,55.28,47.964,34.432,INTERMEDIATE,2.0,1.0,0,18.5,24.5,False,0,0,0,0
British Grand Prix,SAI,Williams,2.0,138.077,57.172,47.311,33.594,INTERMEDIATE,2.0,1.0,0,18.5,24.5,False,0,0,0,0
British Grand Prix,ALB,Williams,2.0,138.765,58.205,47.127,33.433,INTERMEDIATE,2.0,1.0,0,18.4,24.5,False,0,0,0,0
