race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Emilia Romagna Grand Prix,VER,Red Bull Racing,1.0,82.992,27.936000000000003,27.908,27.148,MEDIUM,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,PIA,McLaren,1.0,83.966,28.64299999999999,28.096,27.227,MEDIUM,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,RUS,Mercedes,1.0,84.968,29.209000000000007,28.636,27.123,MEDIUM,4.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,NOR,McLaren,1.0,85.806,29.574,28.782,27.45,MEDIUM,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,ALO,Aston Martin,1.0,86.36,29.908,28.91,27.542,MEDIUM,4.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,SAI,Williams,1.0,86.933,30.28100000000001,29.029,27.623,MEDIUM,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,ALB,Williams,1.0,87.403,30.57900000000001,29.13,27.694,MEDIUM,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,STR,Aston Martin,1.0,87.757,30.82,29.221,27.716,MEDIUM,4.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,GAS,Alpine,1.0,88.236,31.522000000000002,29.185,27.529,MEDIUM,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,LEC,Ferrari,1.0,88.571,31.709999999999997,29.351,27.51,MEDIUM,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,HAD,Racing Bulls,1.0,89.045,31.840000000000003,29.541,27.664,MEDIUM,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,ANT,Mercedes,1.0,89.534,32.14,29.599,27.795,HARD,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,HAM,Ferrari,1.0,89.981,32.370999999999995,29.791,27.819,HARD,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,BOR,Kick Sauber,1.0,90.416,32.652,29.782,27.982,MEDIUM,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,LAW,Racing Bulls,1.0,90.945,32.563,30.243,28.139,MEDIUM,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,HUL,Kick Sauber,1.0,91.936,33.406000000000006,30.225,28.305,HARD,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,COL,Alpine,1.0,92.37,32.886,31.188,28.296,MEDIUM,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,BEA,Haas F1 Team,1.0,93.051,33.533,30.698,28.82,HARD,1.0,1.0,0,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,TSU,Red Bull Racing,1.0,95.056,39.11999999999999,28.507,27.429,HARD,1.0,1.0,1,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,OCO,Haas F1 Team,1.0,96.497,33.09799999999999,30.165,33.234,MEDIUM,1.0,1.0,1,24.0,45.2,False,0,0,0,0
Emilia Romagna Grand Prix,VER,Red Bull Racing,2.0,81.131,26.069,28.244,26.818,MEDIUM,2.0,1.0,0,24.1,45.3,False,0,0,0,0
Emilia Romagna Grand Prix,PIA,McLaren,2.0,81.601,26.377,28.158,27.066,MEDIUM,2.0,1.0,0,24.1,45.3,False,0,0,0,0
Emilia Romagna Grand Prix,RUS,Mercedes,2.0,81.596,26.157,28.386,27.053,MEDIUM,5.0,1.0,0,24.1,45.3,False,0,0,0,0
Emilia Romagna Grand Prix,NOR,McLaren,2.0,81.819,26.26,28.394,27.165,MEDIUM,2.0,1.0,0,24.1,45.3,False,0,0,0,0
Emilia Romagna Grand Prix,ALO,Aston Martin,2.0,82.15,26.433,28.372,27.345,MEDIUM,5.0,1.0,0,24.1,45.3,False,0,0,0,0
Emilia Romagna Grand Prix,SAI,Williams,2.0,82.2,26.412,28.288,27.5,MEDIUM,2.0,1.0,0,24.1,45.3,False,0,0,0,0
Emilia Romagna Grand Prix,ALB,Williams,2.0,82.323,26.503,28.561,27.259,MEDIUM,2.0,1.0,0,24.1,45.3,False,0,0,0,0
Emilia Romagna Grand Prix,STR,Aston Martin,2.0,82.497,26.591,28.601,27.305,MEDIUM,5.0,1.0,0,24.1,45.3,False,0,0,0,0
Emilia Romagna Grand Prix,GAS,Alpine,2.0,82.771,26.788,28.72,27.263,MEDIUM,2.0,1.0,0,24.1,45.3,False,0,0,0,0
Emilia Romagna Grand Prix,LEC,Ferrari,2.0,82.899,26.724,28.979,27.196,MEDIUM,2.0,1.0,0,24.1,45.3,False,0,0,0,0
Emilia Romagna Grand Prix,HAD,Racing Bulls,2.0,82.976,26.865,28.832,27.279,MEDIUM,2.0,1.0,0,24.1,45.3,False,0,0,0,0
Emilia Romagna Grand Prix,ANT,Mercedes,2.0,83.293,26.647,29.038,27.608,HARD,2.0,1.0,0,24.1,45.3,False,0,0,0,0
