race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Japanese Grand Prix,VER,Red Bull Racing,1.0,94.725,34.61599999999999,41.962,18.147,MEDIUM,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,NOR,McLaren,1.0,95.761,35.288999999999994,42.21,18.262,MEDIUM,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,PIA,McLaren,1.0,96.482,35.995,42.151,18.336,MEDIUM,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,LEC,Ferrari,1.0,97.371,36.931,42.344,18.096,MEDIUM,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,RUS,Mercedes,1.0,97.985,37.336,42.5,18.149,MEDIUM,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,ANT,Mercedes,1.0,98.965,38.00600000000001,42.791,18.168,MEDIUM,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,HAD,Racing Bulls,1.0,99.924,38.196000000000005,43.484,18.244,MEDIUM,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,HAM,Ferrari,1.0,100.279,38.64,43.278,18.361,HARD,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,ALB,Williams,1.0,100.786,38.792,43.689,18.305,MEDIUM,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,BEA,Haas F1 Team,1.0,101.275,39.172000000000004,43.761,18.342,MEDIUM,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,ALO,Aston Martin,1.0,102.048,39.552,44.081,18.415,MEDIUM,2.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,GAS,Alpine,1.0,102.427,39.93900000000001,43.741,18.747,MEDIUM,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,TSU,Red Bull Racing,1.0,102.862,40.553999999999995,43.772,18.536,MEDIUM,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,LAW,Racing Bulls,1.0,103.463,40.178999999999995,44.632,18.652,MEDIUM,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,HUL,Kick Sauber,1.0,103.858,40.883,44.057,18.918,MEDIUM,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,SAI,Williams,1.0,104.206,41.18600000000001,44.306,18.714,MEDIUM,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,OCO,Haas F1 Team,1.0,104.763,41.697,44.392,18.674,HARD,2.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,DOO,Alpine,1.0,105.302,42.06900000000001,44.379,18.854,SOFT,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,STR,Aston Martin,1.0,106.103,42.364,44.8,18.939,SOFT,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,BOR,Kick Sauber,1.0,106.89,43.092,44.751,19.047,HARD,1.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,VER,Red Bull Racing,2.0,93.943,33.894,42.026,18.023,MEDIUM,2.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,NOR,McLaren,2.0,93.947,33.809,42.049,18.089,MEDIUM,2.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,PIA,McLaren,2.0,94.084,33.936,41.858,18.29,MEDIUM,2.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,LEC,Ferrari,2.0,94.121,34.083,42.034,18.004,MEDIUM,2.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,RUS,Mercedes,2.0,94.191,33.985,42.155,18.051,MEDIUM,2.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,ANT,Mercedes,2.0,94.531,34.135,42.288,18.108,MEDIUM,2.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,HAD,Racing Bulls,2.0,94.75,34.135,42.535,18.08,MEDIUM,2.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,HAM,Ferrari,2.0,95.275,34.674,42.491,18.11,HARD,2.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,ALB,Williams,2.0,95.445,34.666,42.555,18.224,MEDIUM,2.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,BEA,Haas F1 Team,2.0,95.553,34.582,42.83,18.141,MEDIUM,2.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,ALO,Aston Martin,2.0,95.686,34.527,42.791,18.368,MEDIUM,3.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,GAS,Alpine,2.0,95.858,34.65,43.028,18.18,MEDIUM,2.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,TSU,Red Bull Racing,2.0,96.076,35.007,42.691,18.378,MEDIUM,2.0,1.0,0,14.3,21.0,False,0,0,0,0
Japanese Grand Prix,LAW,Racing Bulls,2.0,96.326,35.136,42.856,18.334,MEDIUM,2.0,1.0,0,14.3,20.8,False,0,0,0,0
Japanese Grand Prix,SAI,Williams,2.0,96.248,35.24,42.827,18.181,MEDIUM,2.0,1.0,0,14.3,20.8,False,0,0,0,0
Japanese Grand Prix,HUL,Kick Sauber,2.0,97.125,35.157,43.751,18.217,MEDIUM,2.0,1.0,0,14.3,20.8,False,0,0,0,0
Japanese Grand Prix,OCO,Haas F1 Team,2.0,96.899,35.138,43.339,18.422,HARD,3.0,1.0,0,14.3,20.8,False,0,0,0,0
Japanese Grand Prix,DOO,Alpine,2.0,96.848,35.025,43.358,18.465,SOFT,2.0,1.0,0,14.3,20.8,False,0,0,0,0
Japanese Grand Prix,STR,Aston Martin,2.0,97.016,35.01,43.501,18.505,SOFT,2.0,1.0,0,14.3,20.8,False,0,0,0,0
Japanese Grand Prix,BOR,Kick Sauber,2.0,96.988,35.261,43.238,18.489,HARD,2.0,1.0,0,14.3,20.8,False,0,0,0,0
Japanese Grand Prix,VER,Red Bull Racing,3.0,93.639,33.567,42.027,18.045,MEDIUM,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,NOR,McLaren,3.0,93.789,33.515,42.096,18.178,MEDIUM,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,PIA,McLaren,3.0,94.042,33.517,42.133,18.392,MEDIUM,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,LEC,Ferrari,3.0,94.129,33.829,42.223,18.077,MEDIUM,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,RUS,Mercedes,3.0,94.204,33.652,42.334,18.218,MEDIUM,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,ANT,Mercedes,3.0,94.123,33.628,42.362,18.133,MEDIUM,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,HAD,Racing Bulls,3.0,94.166,33.682,42.399,18.085,MEDIUM,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,HAM,Ferrari,3.0,94.254,33.769,42.301,18.184,HARD,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,ALB,Williams,3.0,94.501,33.756,42.534,18.211,MEDIUM,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,BEA,Haas F1 Team,3.0,94.435,33.728,42.585,18.122,MEDIUM,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,ALO,Aston Martin,3.0,94.761,33.874,42.654,18.233,MEDIUM,4.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,GAS,Alpine,3.0,94.955,34.086,42.689,18.18,MEDIUM,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,TSU,Red Bull Racing,3.0,95.057,33.962,42.818,18.277,MEDIUM,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,LAW,Racing Bulls,3.0,95.233,34.149,42.821,18.263,MEDIUM,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,SAI,Williams,3.0,95.33,34.238,42.788,18.304,MEDIUM,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,HUL,Kick Sauber,3.0,95.419,34.263,42.967,18.189,MEDIUM,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,OCO,Haas F1 Team,3.0,95.531,34.122,43.074,18.335,HARD,4.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,DOO,Alpine,3.0,95.653,34.057,43.348,18.248,SOFT,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,STR,Aston Martin,3.0,95.475,33.752,43.167,18.556,SOFT,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,BOR,Kick Sauber,3.0,95.678,34.051,43.032,18.595,HARD,3.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,VER,Red Bull Racing,4.0,93.744,33.57,42.14,18.034,MEDIUM,4.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,NOR,McLaren,4.0,93.838,33.576,42.123,18.139,MEDIUM,4.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,PIA,McLaren,4.0,93.699,33.268,42.124,18.307,MEDIUM,4.0,1.0,0,14.2,20.9,False,0,0,0,0
Japanese Grand Prix,LEC,Ferrari,4.0,93.954,33.762,42.115,18.077,MEDIUM,4.0,1.0,0,14.3,20.7,False,0,0,0,0
Japanese Grand Prix,RUS,Mercedes,4.0,94.057,33.511,42.48,18.066,MEDIUM,4.0,1.0,0,14.3,20.7,False,0,0,0,0
Japanese Grand Prix,ANT,Mercedes,4.0,94.26,33.531,42.556,18.173,MEDIUM,4.0,1.0,0,14.3,20.7,False,0,0,0,0
Japanese Grand Prix,HAD,Racing Bulls,4.0,94.277,33.555,42.558,18.164,MEDIUM,4.0,1.0,0,14.3,20.7,False,0,0,0,0
Japanese Grand Prix,HAM,Ferrari,4.0,94.147,33.601,42.508,18.038,HARD,4.0,1.0,0,14.3,20.7,False,0,0,0,0
Japanese Grand Prix,ALB,Williams,4.0,94.317,33.46,42.581,18.276,MEDIUM,4.0,1.0,0,14.3,20.7,False,0,0,0,0
Japanese Grand Prix,BEA,Haas F1 Team,4.0,94.466,33.651,42.618,18.197,MEDIUM,4.0,1.0,0,14.3,20.7,False,0,0,0,0
Japanese Grand Prix,ALO,Aston Martin,4.0,94.61,33.887,42.578,18.145,MEDIUM,5.0,1.0,0,14.3,20.7,False,0,0,0,0
Japanese Grand Prix,GAS,Alpine,4.0,94.708,33.883,42.704,18.121,MEDIUM,4.0,1.0,0,14.3,20.7,False,0,0,0,0
Japanese Grand Prix,TSU,Red Bull Racing,4.0,94.771,33.823,42.744,18.204,MEDIUM,4.0,1.0,0,14.3,20.7,False,0,0,0,0
Japanese Grand Prix,LAW,Racing Bulls,4.0,95.098,33.996,42.958,18.144,MEDIUM,4.0,1.0,0,14.3,20.7,False,0,0,0,0
Japanese Grand Prix,SAI,Williams,4.0,94.765,34.015,42.667,18.083,MEDIUM,4.0,1.0,0,14.3,20.7,False,0,0,0,0
