race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Mexico City Grand Prix,NOR,McLaren,1.0,84.735,31.674,32.159,20.902,SOFT,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,LEC,Ferrari,1.0,86.403,31.519000000000005,33.579,21.305,SOFT,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,HAM,Ferrari,1.0,87.187,32.229,33.524,21.434,SOFT,4.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,VER,Red Bull Racing,1.0,87.817,31.992999999999995,34.363,21.461,MEDIUM,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,RUS,Mercedes,1.0,88.429,32.51700000000001,34.416,21.496,SOFT,4.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,BEA,Haas F1 Team,1.0,88.984,32.711,34.608,21.665,SOFT,4.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,ANT,Mercedes,1.0,89.572,32.849000000000004,34.991,21.732,SOFT,4.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,TSU,Red Bull Racing,1.0,90.188,33.465,34.742,21.981,MEDIUM,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,PIA,McLaren,1.0,90.649,34.147999999999996,34.398,22.103,SOFT,4.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,OCO,Haas F1 Team,1.0,91.068,34.429,34.492,22.147,SOFT,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,HAD,Racing Bulls,1.0,91.619,33.291,35.981,22.347,MEDIUM,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,SAI,Williams,1.0,92.118,34.032999999999994,35.753,22.332,MEDIUM,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,BOR,Kick Sauber,1.0,92.601,34.686,35.638,22.277,MEDIUM,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,LAW,Racing Bulls,1.0,93.774,34.327000000000005,36.797,22.65,SOFT,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,GAS,Alpine,1.0,94.307,35.381,36.049,22.877,MEDIUM,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,ALO,Aston Martin,1.0,94.649,34.685,36.54,23.424,SOFT,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,HUL,Kick Sauber,1.0,94.968,35.711,35.877,23.38,SOFT,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,ALB,Williams,1.0,95.288,36.519,35.644,23.125,HARD,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,STR,Aston Martin,1.0,98.448,35.718999999999994,40.53,22.199,SOFT,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,COL,Alpine,1.0,99.953,43.58999999999999,34.371,21.992,HARD,1.0,1.0,0,26.3,51.9,False,0,0,0,0
Mexico City Grand Prix,NOR,McLaren,2.0,83.146,29.536,32.172,21.438,SOFT,2.0,1.0,0,26.1,52.0,False,0,0,0,0
Mexico City Grand Prix,LEC,Ferrari,2.0,83.141,29.322,32.54,21.279,SOFT,2.0,1.0,0,26.1,52.0,False,0,0,0,0
Mexico City Grand Prix,HAM,Ferrari,2.0,83.366,29.463,32.508,21.395,SOFT,5.0,1.0,0,26.1,52.0,False,0,0,0,0
Mexico City Grand Prix,VER,Red Bull Racing,2.0,83.412,29.364,32.6,21.448,MEDIUM,2.0,1.0,0,26.1,52.0,False,0,0,0,0
Mexico City Grand Prix,RUS,Mercedes,2.0,83.407,29.504,32.349,21.554,SOFT,5.0,1.0,0,26.1,52.0,False,0,0,0,0
Mexico City Grand Prix,BEA,Haas F1 Team,2.0,83.597,29.532,32.613,21.452,SOFT,5.0,1.0,0,26.1,52.0,False,0,0,0,0
Mexico City Grand Prix,ANT,Mercedes,2.0,83.658,29.539,32.632,21.487,SOFT,5.0,1.0,0,26.1,52.0,False,0,0,0,0
Mexico City Grand Prix,TSU,Red Bull Racing,2.0,83.838,29.505,32.675,21.658,MEDIUM,2.0,1.0,0,26.1,52.0,False,0,0,0,0
Mexico City Grand Prix,PIA,McLaren,2.0,83.903,29.57,32.634,21.699,SOFT,5.0,1.0,0,26.1,52.0,False,0,0,0,0
Mexico City Grand Prix,OCO,Haas F1 Team,2.0,84.048,29.627,32.697,21.724,SOFT,2.0,1.0,0,26.1,52.0,False,0,0,0,0
