race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Miami Grand Prix,VER,Red Bull Racing,1.0,95.669,34.678,34.681,26.31,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,ANT,Mercedes,1.0,96.85,35.24199999999999,35.389,26.219,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,PIA,McLaren,1.0,97.135,35.664,35.461,26.01,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,RUS,Mercedes,1.0,98.178,36.144999999999996,35.704,26.329,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,ALB,Williams,1.0,98.782,36.884,35.605,26.293,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,NOR,McLaren,1.0,99.277,37.35,35.741,26.186,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,SAI,Williams,1.0,99.731,37.925,35.616,26.19,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,LEC,Ferrari,1.0,100.561,38.387,35.795,26.379,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,TSU,Red Bull Racing,1.0,101.207,38.710999999999984,36.127,26.369,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,OCO,Haas F1 Team,1.0,101.555,38.94900000000001,36.416,26.19,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,HAD,Racing Bulls,1.0,102.125,39.117000000000004,36.707,26.301,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,HAM,Ferrari,1.0,102.517,39.77499999999999,36.424,26.318,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,BOR,Kick Sauber,1.0,103.084,39.547000000000004,37.11,26.427,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,HUL,Kick Sauber,1.0,103.306,40.011,36.996,26.299,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,STR,Aston Martin,1.0,103.734,40.218999999999994,37.28,26.235,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,BEA,Haas F1 Team,1.0,104.65,40.49100000000001,37.559,26.6,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,ALO,Aston Martin,1.0,104.913,40.934,37.633,26.346,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,GAS,Alpine,1.0,105.474,41.28200000000001,37.74,26.452,nan,,,1,26.4,40.0,False,1,0,0,0
Miami Grand Prix,LAW,Racing Bulls,1.0,115.964,54.53,35.427,26.007,nan,,,0,26.4,40.0,False,1,0,0,0
Miami Grand Prix,VER,Red Bull Racing,2.0,111.128,31.426,47.94,31.762,nan,,,0,26.5,40.1,False,0,0,0,0
Miami Grand Prix,ANT,Mercedes,2.0,112.276,31.837,47.99,32.449,nan,,,0,26.5,40.1,False,0,0,0,0
Miami Grand Prix,PIA,McLaren,2.0,112.677,32.129,48.571,31.977,nan,,,0,26.5,40.1,False,0,0,0,0
Miami Grand Prix,RUS,Mercedes,2.0,112.831,31.94,48.138,32.753,nan,,,0,26.5,40.1,False,0,0,0,0
Miami Grand Prix,ALB,Williams,2.0,113.64,32.216,48.993,32.431,nan,,,0,26.5,40.1,False,0,0,0,0
