race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Qatar Grand Prix,PIA,McLaren,1.0,87.615,33.092,28.924,25.599,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,VER,Red Bull Racing,1.0,88.94,34.035999999999994,29.257,25.647,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,NOR,McLaren,1.0,90.05,34.757999999999996,29.61,25.682,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,ANT,Mercedes,1.0,90.716,35.12299999999999,29.876,25.717,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,SAI,Williams,1.0,91.371,35.544,30.052,25.775,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,ALO,Aston Martin,1.0,92.053,36.339,29.984,25.73,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,RUS,Mercedes,1.0,92.586,36.647,30.286,25.653,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,HAD,Racing Bulls,1.0,93.119,36.866,30.481,25.772,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,GAS,Alpine,1.0,93.673,37.063,30.762,25.848,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,LEC,Ferrari,1.0,94.322,37.22,30.847,26.255,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,HUL,Kick Sauber,1.0,94.468,37.39800000000001,31.008,26.062,SOFT,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,BEA,Haas F1 Team,1.0,94.986,37.537000000000006,31.363,26.086,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,LAW,Racing Bulls,1.0,95.435,37.795,31.509,26.131,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,HAM,Ferrari,1.0,95.868,38.22099999999999,31.236,26.411,SOFT,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,OCO,Haas F1 Team,1.0,96.298,38.543,31.09,26.665,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,TSU,Red Bull Racing,1.0,96.981,38.449999999999996,31.863,26.668,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,ALB,Williams,1.0,97.045,38.861999999999995,31.465,26.718,HARD,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,BOR,Kick Sauber,1.0,98.152,39.384,31.75,27.018,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,STR,Aston Martin,1.0,98.154,39.21799999999999,31.489,27.447,MEDIUM,1.0,1.0,0,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,COL,Alpine,1.0,98.774,41.35900000000001,30.844,26.571,HARD,1.0,1.0,1,22.6,28.6,False,0,0,0,0
Qatar Grand Prix,PIA,McLaren,2.0,87.15,32.074,29.317,25.759,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,VER,Red Bull Racing,2.0,87.349,32.28,29.444,25.625,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,NOR,McLaren,2.0,87.713,32.601,29.465,25.647,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,ANT,Mercedes,2.0,87.953,32.591,29.7,25.662,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,SAI,Williams,2.0,88.123,32.665,29.828,25.63,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,ALO,Aston Martin,2.0,88.246,32.647,29.898,25.701,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,RUS,Mercedes,2.0,88.31,32.766,29.821,25.723,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,HAD,Racing Bulls,2.0,88.632,33.023,29.748,25.861,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,GAS,Alpine,2.0,89.291,32.942,29.948,26.401,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,HUL,Kick Sauber,2.0,88.911,32.447,30.059,26.405,SOFT,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,LEC,Ferrari,2.0,89.405,33.427,29.825,26.153,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,BEA,Haas F1 Team,2.0,89.227,33.207,30.175,25.845,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,LAW,Racing Bulls,2.0,89.343,33.326,30.026,25.991,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,HAM,Ferrari,2.0,89.41,33.288,30.109,26.013,SOFT,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,OCO,Haas F1 Team,2.0,89.487,33.266,30.204,26.017,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,TSU,Red Bull Racing,2.0,89.251,33.251,30.143,25.857,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,ALB,Williams,2.0,89.828,33.707,30.158,25.963,HARD,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,STR,Aston Martin,2.0,89.552,33.362,30.199,25.991,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,BOR,Kick Sauber,2.0,89.881,33.686,30.3,25.895,MEDIUM,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,COL,Alpine,2.0,90.394,33.628,30.397,26.369,HARD,2.0,1.0,0,22.6,28.5,False,0,0,0,0
Qatar Grand Prix,PIA,McLaren,3.0,86.93,32.099,29.235,25.596,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,VER,Red Bull Racing,3.0,87.511,32.25,29.509,25.752,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,NOR,McLaren,3.0,87.673,32.595,29.431,25.647,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,ANT,Mercedes,3.0,87.737,32.439,29.703,25.595,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,SAI,Williams,3.0,88.03,32.46,29.779,25.791,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,ALO,Aston Martin,3.0,88.081,32.313,29.845,25.923000000000002,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,RUS,Mercedes,3.0,88.059,32.424,29.996,25.639,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,HAD,Racing Bulls,3.0,88.346,32.631,29.863,25.852,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,GAS,Alpine,3.0,88.388,32.786,29.945,25.657,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,HUL,Kick Sauber,3.0,88.362,32.712,29.914,25.736,SOFT,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,LEC,Ferrari,3.0,88.982,32.966,30.149,25.867,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,BEA,Haas F1 Team,3.0,88.95,32.953,30.286,25.711,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,LAW,Racing Bulls,3.0,88.929,32.927,30.278,25.724,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,HAM,Ferrari,3.0,88.899,32.883,30.194,25.822,SOFT,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,OCO,Haas F1 Team,3.0,89.039,32.878,30.255,25.906,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,TSU,Red Bull Racing,3.0,89.116,32.8,30.399,25.917,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,ALB,Williams,3.0,88.892,32.662,30.347,25.883,HARD,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,STR,Aston Martin,3.0,88.85,32.71,30.25,25.89,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,BOR,Kick Sauber,3.0,88.921,32.74,30.292,25.889,MEDIUM,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,COL,Alpine,3.0,88.683,32.722,30.092,25.869,HARD,3.0,1.0,0,22.7,28.3,False,0,0,0,0
Qatar Grand Prix,PIA,McLaren,4.0,87.217,32.261,29.397,25.559,MEDIUM,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,VER,Red Bull Racing,4.0,87.324,32.285,29.46,25.579,MEDIUM,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,NOR,McLaren,4.0,87.505,32.362,29.572,25.571,MEDIUM,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,ANT,Mercedes,4.0,87.48,32.105,29.816,25.559,MEDIUM,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,SAI,Williams,4.0,87.804,32.439,29.737,25.628,MEDIUM,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,ALO,Aston Martin,4.0,87.928,32.477,29.83,25.621,MEDIUM,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,RUS,Mercedes,4.0,87.944,32.499,30.024,25.421,MEDIUM,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,HAD,Racing Bulls,4.0,88.01,32.6,29.907,25.503,MEDIUM,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,GAS,Alpine,4.0,88.333,32.733,29.959,25.641,MEDIUM,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,HUL,Kick Sauber,4.0,88.402,32.754,30.009,25.639,SOFT,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,LEC,Ferrari,4.0,88.281,32.607,29.972,25.701999999999998,MEDIUM,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,BEA,Haas F1 Team,4.0,88.572,32.797,30.165,25.61,MEDIUM,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,LAW,Racing Bulls,4.0,88.65,32.83,30.176,25.644,MEDIUM,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,HAM,Ferrari,4.0,89.014,32.818,30.293,25.903,SOFT,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,OCO,Haas F1 Team,4.0,88.848,32.607,30.42,25.821,MEDIUM,4.0,1.0,0,22.7,28.1,False,0,0,0,0
Qatar Grand Prix,TSU,Red Bull Racing,4.0,88.638,32.452,30.447,25.739,MEDIUM,4.0,1.0,0,22.7,28.1,False,0,0,0,0
