race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Saudi Arabian Grand Prix,VER,Red Bull Racing,1.0,123.217,35.705,29.566,57.946,MEDIUM,1.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,PIA,McLaren,1.0,124.986,36.547000000000004,29.518,58.921,MEDIUM,1.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,RUS,Mercedes,1.0,127.151,37.28199999999999,29.796,60.073,MEDIUM,1.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,LEC,Ferrari,1.0,127.865,37.842,29.948,60.075,MEDIUM,1.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,ANT,Mercedes,1.0,129.232,38.489,29.935,60.808,MEDIUM,1.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,HAM,Ferrari,1.0,132.474,38.88399999999999,30.282,63.308,MEDIUM,1.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,SAI,Williams,1.0,133.455,39.67000000000001,30.492,63.293,MEDIUM,1.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,NOR,McLaren,1.0,136.024,40.634,30.989,64.401,HARD,1.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,ALB,Williams,1.0,137.291,41.015,31.58,64.696,MEDIUM,1.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,ALO,Aston Martin,1.0,138.128,41.219999999999985,34.869,62.039,MEDIUM,2.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,HAD,Racing Bulls,1.0,141.02,41.67900000000001,36.83,62.511,HARD,1.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,LAW,Racing Bulls,1.0,143.086,42.103000000000016,38.681,62.302,MEDIUM,1.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,BEA,Haas F1 Team,1.0,144.14,42.431,39.552,62.157,MEDIUM,1.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,STR,Aston Martin,1.0,145.831,42.60999999999999,40.767,62.454,HARD,2.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,HUL,Kick Sauber,1.0,147.149,43.565,43.253,60.331,HARD,1.0,1.0,0,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,DOO,Alpine,1.0,148.383,42.937000000000005,41.751,63.695,MEDIUM,1.0,1.0,1,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,OCO,Haas F1 Team,1.0,149.408,43.83999999999999,43.922,61.646,MEDIUM,1.0,1.0,1,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,BOR,Kick Sauber,1.0,149.952,44.36900000000001,44.862,60.721,MEDIUM,1.0,1.0,1,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,TSU,Red Bull Racing,1.0,165.662,95.077,33.152,37.433,MEDIUM,1.0,1.0,1,28.6,38.4,False,0,0,0,0
Saudi Arabian Grand Prix,VER,Red Bull Racing,4.0,93.831,34.345,29.659,29.826999999999998,MEDIUM,4.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,PIA,McLaren,4.0,94.247,34.829,29.607,29.811,MEDIUM,4.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,RUS,Mercedes,4.0,95.17,35.754,29.477,29.939,MEDIUM,4.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,LEC,Ferrari,4.0,95.845,36.226,29.756,29.863,MEDIUM,4.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,ANT,Mercedes,4.0,96.284,36.531,29.718,30.035,MEDIUM,4.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,HAM,Ferrari,4.0,96.425,36.411,29.833,30.181,MEDIUM,4.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,SAI,Williams,4.0,96.814,36.831,29.882,30.101,MEDIUM,4.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,NOR,McLaren,4.0,97.073,36.959,30.137,29.977,HARD,4.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,ALB,Williams,4.0,97.386,36.965,30.153,30.268,MEDIUM,4.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,HAD,Racing Bulls,4.0,97.627,36.861,30.452,30.314,HARD,4.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,ALO,Aston Martin,4.0,98.215,37.053,30.357,30.805,MEDIUM,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,LAW,Racing Bulls,4.0,97.713,37.011,30.519,30.183,MEDIUM,4.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,BEA,Haas F1 Team,4.0,97.923,37.144,30.563,30.216,MEDIUM,4.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,STR,Aston Martin,4.0,97.99,36.967,30.473,30.55,HARD,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,HUL,Kick Sauber,4.0,98.025,37.01,30.456,30.559,HARD,4.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,DOO,Alpine,4.0,98.096,36.762,30.611,30.723,HARD,3.0,2.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,OCO,Haas F1 Team,4.0,98.241,36.925,30.701,30.615,HARD,3.0,2.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,BOR,Kick Sauber,4.0,98.211,36.879,30.69,30.642,HARD,3.0,2.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,VER,Red Bull Racing,5.0,93.716,34.376,29.547,29.793,MEDIUM,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,PIA,McLaren,5.0,93.418,34.522,29.411,29.485,MEDIUM,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,RUS,Mercedes,5.0,93.996,34.781,29.406,29.809,MEDIUM,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,LEC,Ferrari,5.0,94.428,35.045,29.634,29.749,MEDIUM,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,ANT,Mercedes,5.0,94.482,35.367,29.4,29.715,MEDIUM,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,HAM,Ferrari,5.0,95.099,35.575,29.694,29.83,MEDIUM,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,SAI,Williams,5.0,95.717,35.964,29.945,29.808,MEDIUM,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,NOR,McLaren,5.0,95.525,35.897,30.011,29.617,HARD,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,ALB,Williams,5.0,95.606,36.057,29.838,29.711,MEDIUM,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,HAD,Racing Bulls,5.0,95.624,35.743,29.918,29.963,HARD,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,ALO,Aston Martin,5.0,96.176,36.197,29.951,30.028,MEDIUM,6.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,LAW,Racing Bulls,5.0,96.362,36.342,29.992,30.028,MEDIUM,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,BEA,Haas F1 Team,5.0,96.423,36.453,30.177,29.793,MEDIUM,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,STR,Aston Martin,5.0,96.355,36.219,30.071,30.065,HARD,6.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,HUL,Kick Sauber,5.0,96.556,36.499,30.039,30.018,HARD,5.0,1.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,DOO,Alpine,5.0,96.72,36.451,30.27,29.999,HARD,4.0,2.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,OCO,Haas F1 Team,5.0,96.859,36.475,30.406,29.978,HARD,4.0,2.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,BOR,Kick Sauber,5.0,96.931,36.579,30.257,30.095,HARD,4.0,2.0,0,28.9,38.1,False,0,0,0,0
Saudi Arabian Grand Prix,VER,Red Bull Racing,6.0,93.564,34.33,29.438,29.796,MEDIUM,6.0,1.0,0,28.9,38.2,False,0,0,0,0
Saudi Arabian Grand Prix,PIA,McLaren,6.0,93.917,34.783,29.453,29.681,MEDIUM,6.0,1.0,0,28.9,38.2,False,0,0,0,0
Saudi Arabian Grand Prix,RUS,Mercedes,6.0,94.073,34.73,29.526,29.817,MEDIUM,6.0,1.0,0,28.9,38.2,False,0,0,0,0
Saudi Arabian Grand Prix,LEC,Ferrari,6.0,94.52,35.014,29.793,29.713,MEDIUM,6.0,1.0,0,28.9,38.2,False,0,0,0,0
Saudi Arabian Grand Prix,ANT,Mercedes,6.0,94.386,35.128,29.477,29.781,MEDIUM,6.0,1.0,0,28.9,38.2,False,0,0,0,0
Saudi Arabian Grand Prix,HAM,Ferrari,6.0,94.459,34.999,29.648,29.812,MEDIUM,6.0,1.0,0,28.9,38.2,False,0,0,0,0
Saudi Arabian Grand Prix,SAI,Williams,6.0,95.115,35.444,29.802,29.869,MEDIUM,6.0,1.0,0,28.9,38.2,False,0,0,0,0
Saudi Arabian Grand Prix,NOR,McLaren,6.0,95.042,35.653,29.72,29.669,HARD,6.0,1.0,0,28.9,38.2,False,0,0,0,0
Saudi Arabian Grand Prix,ALB,Williams,6.0,95.148,35.834,29.637,29.677,MEDIUM,6.0,1.0,0,28.9,38.2,False,0,0,0,0
Saudi Arabian Grand Prix,HAD,Racing Bulls,6.0,95.003,35.475,29.828,29.7,HARD,6.0,1.0,0,28.9,38.2,False,0,0,0,0
Saudi Arabian Grand Prix,ALO,Aston Martin,6.0,95.37,35.542,29.913,29.915,MEDIUM,7.0,1.0,0,28.9,38.2,False,0,0,0,0
Saudi Arabian Grand Prix,LAW,Racing Bulls,6.0,95.545,35.761,29.957,29.826999999999998,MEDIUM,6.0,1.0,0,28.9,38.2,False,0,0,0,0
Saudi Arabian Grand Prix,BEA,Haas F1 Team,6.0,95.844,36.011,30.135,29.698,MEDIUM,6.0,1.0,0,28.9,38.2,False,0,0,0,0
