race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
Spanish Grand Prix,PIA,McLaren,1.0,82.879,26.711000000000006,32.049,24.119,SOFT,1.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,VER,Red Bull Racing,1.0,83.696,27.365,32.318,24.013,SOFT,4.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,NOR,McLaren,1.0,84.658,27.782,32.807,24.069,SOFT,1.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,HAM,Ferrari,1.0,85.349,28.130000000000003,32.96,24.259,SOFT,4.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,LEC,Ferrari,1.0,86.275,28.720000000000002,33.173,24.382,SOFT,2.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,RUS,Mercedes,1.0,86.617,28.504000000000005,33.777,24.336,SOFT,4.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,ANT,Mercedes,1.0,87.381,28.967999999999996,34.011,24.402,SOFT,4.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,GAS,Alpine,1.0,87.934,29.062,34.3,24.572,SOFT,3.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,HAD,Racing Bulls,1.0,88.411,29.288,34.329,24.794,SOFT,4.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,ALO,Aston Martin,1.0,88.761,29.532999999999998,34.254,24.974,SOFT,3.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,HUL,Kick Sauber,1.0,88.901,30.057,33.937,24.907,SOFT,1.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,BOR,Kick Sauber,1.0,89.36,29.800000000000004,34.48,25.08,SOFT,4.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,LAW,Racing Bulls,1.0,89.953,30.195000000000007,34.547,25.211,SOFT,1.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,ALB,Williams,1.0,90.384,30.528999999999996,34.517,25.338,SOFT,4.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,BEA,Haas F1 Team,1.0,90.837,30.785000000000004,34.847,25.205,SOFT,1.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,OCO,Haas F1 Team,1.0,91.228,31.127999999999993,34.697,25.403,SOFT,1.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,SAI,Williams,1.0,91.809,31.352999999999998,34.943,25.513,SOFT,1.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,COL,Alpine,1.0,92.318,31.568999999999996,35.213,25.536,SOFT,1.0,1.0,0,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,TSU,Red Bull Racing,1.0,93.614,35.31700000000001,33.422,24.875,MEDIUM,1.0,1.0,1,29.5,49.4,False,0,0,0,0
Spanish Grand Prix,PIA,McLaren,2.0,80.211,24.207,32.317,23.687,SOFT,2.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,VER,Red Bull Racing,2.0,80.083,24.125,32.278,23.68,SOFT,5.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,NOR,McLaren,2.0,80.904,24.426,32.574,23.904,SOFT,2.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,HAM,Ferrari,2.0,81.368,24.232,32.983,24.153,SOFT,5.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,LEC,Ferrari,2.0,81.421,24.415,32.96,24.046,SOFT,3.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,RUS,Mercedes,2.0,81.564,24.515,33.029,24.02,SOFT,5.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,ANT,Mercedes,2.0,82.112,24.554,33.438,24.12,SOFT,5.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,GAS,Alpine,2.0,82.663,24.576,33.518,24.569,SOFT,4.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,HAD,Racing Bulls,2.0,82.858,24.689,33.432,24.737,SOFT,5.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,HUL,Kick Sauber,2.0,82.812,24.519,33.492,24.801,SOFT,2.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,ALO,Aston Martin,2.0,83.387,24.661,33.931,24.795,SOFT,4.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,BOR,Kick Sauber,2.0,83.275,24.666,33.728,24.881,SOFT,5.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,LAW,Racing Bulls,2.0,83.22,24.72,33.666,24.834,SOFT,2.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,ALB,Williams,2.0,83.703,24.71,34.072,24.921,SOFT,5.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,BEA,Haas F1 Team,2.0,83.868,24.837,34.059,24.972,SOFT,2.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,OCO,Haas F1 Team,2.0,83.815,24.782,33.892,25.141,SOFT,2.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,SAI,Williams,2.0,83.851,24.744,33.993,25.114,SOFT,2.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,COL,Alpine,2.0,83.993,24.778,34.042,25.173,SOFT,2.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,TSU,Red Bull Racing,2.0,83.482,24.492,33.757,25.233,MEDIUM,2.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,PIA,McLaren,3.0,79.866,23.812,31.867,24.187,SOFT,3.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,VER,Red Bull Racing,3.0,80.537,23.816,32.561,24.16,SOFT,6.0,1.0,0,29.6,49.4,False,0,0,0,0
Spanish Grand Prix,NOR,McLaren,3.0,80.69,23.92,32.553,24.217,SOFT,3.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,HAM,Ferrari,3.0,80.753,23.843,32.754,24.156,SOFT,6.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,LEC,Ferrari,3.0,80.809,24.264,32.473,24.072,SOFT,4.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,RUS,Mercedes,3.0,81.385,24.145,32.846,24.394,SOFT,6.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,ANT,Mercedes,3.0,81.874,24.292,33.119,24.463,SOFT,6.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,GAS,Alpine,3.0,82.133,24.33,33.287,24.516,SOFT,5.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,HAD,Racing Bulls,3.0,81.972,24.087,33.332,24.553,SOFT,6.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,HUL,Kick Sauber,3.0,82.138,23.864,33.559,24.715,SOFT,3.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,ALO,Aston Martin,3.0,82.424,24.069,33.648,24.707,SOFT,5.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,BOR,Kick Sauber,3.0,82.493,24.142,33.577,24.774,SOFT,6.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,LAW,Racing Bulls,3.0,82.634,24.264,33.579,24.791,SOFT,3.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,ALB,Williams,3.0,82.585,24.187,33.553,24.845,SOFT,6.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,BEA,Haas F1 Team,3.0,82.603,24.267,33.558,24.778,SOFT,3.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,OCO,Haas F1 Team,3.0,82.636,24.295,33.585,24.756,SOFT,3.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,SAI,Williams,3.0,82.905,24.264,33.694,24.947,SOFT,3.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,COL,Alpine,3.0,83.061,24.299,33.911,24.851,SOFT,3.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,TSU,Red Bull Racing,3.0,83.005,24.256,33.736,25.013,MEDIUM,3.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,PIA,McLaren,4.0,80.359,24.104,32.173,24.082,SOFT,4.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,VER,Red Bull Racing,4.0,81.032,24.299,32.612,24.121,SOFT,7.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,NOR,McLaren,4.0,80.8,24.072,32.502,24.226,SOFT,4.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,HAM,Ferrari,4.0,80.639,23.899,32.494,24.246,SOFT,7.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,LEC,Ferrari,4.0,80.725,23.886,32.381,24.458,SOFT,5.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,RUS,Mercedes,4.0,81.126,24.09,32.71,24.326,SOFT,7.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,ANT,Mercedes,4.0,81.374,24.27,32.687,24.417,SOFT,7.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,GAS,Alpine,4.0,81.329,24.159,32.839,24.331,SOFT,6.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,HAD,Racing Bulls,4.0,81.781,23.96,33.186,24.635,SOFT,7.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,HUL,Kick Sauber,4.0,81.756,23.861,33.327,24.568,SOFT,4.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,ALO,Aston Martin,4.0,81.965,23.936,33.355,24.674,SOFT,6.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,BOR,Kick Sauber,4.0,82.114,23.954,33.292,24.868,SOFT,7.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,LAW,Racing Bulls,4.0,82.031,24.028,33.274,24.729,SOFT,4.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,ALB,Williams,4.0,82.127,24.038,33.274,24.815,SOFT,7.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,BEA,Haas F1 Team,4.0,82.344,23.984,33.616,24.744,SOFT,4.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,OCO,Haas F1 Team,4.0,82.373,24.215,33.19,24.968,SOFT,4.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,SAI,Williams,4.0,82.37,24.043,33.431,24.896,SOFT,4.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,COL,Alpine,4.0,82.402,24.011,33.601,24.79,SOFT,4.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,TSU,Red Bull Racing,4.0,82.585,24.079,33.591,24.915,MEDIUM,4.0,1.0,0,29.4,49.4,False,0,0,0,0
Spanish Grand Prix,PIA,McLaren,5.0,80.467,24.036,32.363,24.068,SOFT,5.0,1.0,0,29.3,49.9,False,0,0,0,0
Spanish Grand Prix,VER,Red Bull Racing,5.0,80.964,24.223,32.561,24.18,SOFT,8.0,1.0,0,29.3,49.9,False,0,0,0,0
Spanish Grand Prix,NOR,McLaren,5.0,80.644,23.983,32.529,24.132,SOFT,5.0,1.0,0,29.3,49.9,False,0,0,0,0
Spanish Grand Prix,HAM,Ferrari,5.0,81.109,23.967,32.681,24.461,SOFT,8.0,1.0,0,29.3,49.9,False,0,0,0,0
Spanish Grand Prix,LEC,Ferrari,5.0,80.75,23.909,32.475,24.366,SOFT,6.0,1.0,0,29.3,49.9,False,0,0,0,0
