race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
São Paulo Grand Prix,NOR,McLaren,1.0,78.067,23.55099999999999,37.52,16.996,MEDIUM,1.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,ANT,Mercedes,1.0,79.069,23.858000000000008,38.163,17.048,SOFT,4.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,LEC,Ferrari,1.0,79.556,24.232999999999997,38.433,16.89,MEDIUM,1.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,PIA,McLaren,1.0,80.531,24.922000000000004,38.75,16.859,MEDIUM,1.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,HAD,Racing Bulls,1.0,81.32,24.984999999999992,39.231,17.104,SOFT,4.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,LAW,Racing Bulls,1.0,81.83,25.150999999999996,39.63,17.049,SOFT,4.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,RUS,Mercedes,1.0,82.173,25.692999999999998,39.578,16.902,MEDIUM,5.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,GAS,Alpine,1.0,83.216,25.714999999999993,40.271,17.23,SOFT,4.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,BEA,Haas F1 Team,1.0,83.362,25.840999999999994,40.536,16.985,SOFT,3.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,ALO,Aston Martin,1.0,84.077,25.989,40.876,17.212,HARD,1.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,ALB,Williams,1.0,84.43,26.338000000000008,40.894,17.198,MEDIUM,7.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,HUL,Kick Sauber,1.0,84.736,26.074000000000005,41.458,17.204,MEDIUM,1.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,SAI,Williams,1.0,84.958,26.495999999999995,41.38,17.082,SOFT,1.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,TSU,Red Bull Racing,1.0,85.506,26.809,41.381,17.316,HARD,1.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,STR,Aston Martin,1.0,86.274,27.411,41.4,17.463,HARD,1.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,COL,Alpine,1.0,86.575,27.506000000000007,41.599,17.47,MEDIUM,1.0,1.0,0,17.5,30.7,False,0,1,0,0
São Paulo Grand Prix,HAM,Ferrari,1.0,86.869,27.714,41.634,17.521,SOFT,1.0,1.0,0,17.5,30.7,False,0,1,0,0
