race,Driver,Team,LapNumber,lap_time,s1,s2,s3,Compound,TyreLife,Stint,pit_flag,AirTemp,TrackTemp,Rainfall,yellow_flag,sc_flag,vsc_flag,red_flag
United States Grand Prix,VER,Red Bull Racing,1.0,100.212,27.394000000000005,39.777,33.041,MEDIUM,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,LEC,Ferrari,1.0,101.677,28.18500000000001,40.22,33.272,SOFT,4.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,NOR,McLaren,1.0,102.447,28.579,40.436,33.432,MEDIUM,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,HAM,Ferrari,1.0,103.181,28.781,40.721,33.679,MEDIUM,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,PIA,McLaren,1.0,104.08,29.272,40.876,33.932,MEDIUM,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,RUS,Mercedes,1.0,104.377,29.49499999999999,41.045,33.837,MEDIUM,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,ANT,Mercedes,1.0,105.269,29.901000000000003,41.377,33.991,MEDIUM,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,BEA,Haas F1 Team,1.0,105.942,30.06899999999999,41.451,34.422,MEDIUM,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,SAI,Williams,1.0,106.371,30.301000000000002,41.68,34.39,MEDIUM,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,TSU,Red Bull Racing,1.0,106.739,30.678000000000004,41.697,34.364,MEDIUM,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,HUL,Kick Sauber,1.0,107.315,30.616000000000007,42.01,34.689,MEDIUM,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,ALO,Aston Martin,1.0,107.701,30.922999999999995,42.042,34.736,MEDIUM,2.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,LAW,Racing Bulls,1.0,108.219,31.315999999999995,41.928,34.975,MEDIUM,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,GAS,Alpine,1.0,108.733,31.750000000000007,42.211,34.772,MEDIUM,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,OCO,Haas F1 Team,1.0,109.28,32.01900000000001,42.379,34.882,HARD,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,BOR,Kick Sauber,1.0,109.461,32.134,42.984,34.343,SOFT,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,COL,Alpine,1.0,110.067,32.12799999999999,42.851,35.088,MEDIUM,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,STR,Aston Martin,1.0,110.361,32.48100000000001,43.074,34.806,SOFT,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,HAD,Racing Bulls,1.0,111.047,32.682,43.309,35.056,HARD,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,ALB,Williams,1.0,116.94,32.989,49.107,34.844,HARD,1.0,1.0,0,28.2,45.6,False,0,0,0,0
United States Grand Prix,VER,Red Bull Racing,2.0,100.241,27.162,39.963,33.116,MEDIUM,2.0,1.0,0,28.1,45.1,False,0,0,0,0
United States Grand Prix,LEC,Ferrari,2.0,100.503,27.241,40.015,33.247,SOFT,5.0,1.0,0,28.1,45.1,False,0,0,0,0
United States Grand Prix,NOR,McLaren,2.0,100.65,27.278,39.909,33.463,MEDIUM,2.0,1.0,0,28.1,45.1,False,0,0,0,0
United States Grand Prix,HAM,Ferrari,2.0,100.828,27.143,39.976,33.709,MEDIUM,2.0,1.0,0,28.1,45.1,False,0,0,0,0
United States Grand Prix,PIA,McLaren,2.0,100.687,27.392,39.7,33.595,MEDIUM,2.0,1.0,0,28.1,45.1,False,0,0,0,0
United States Grand Prix,RUS,Mercedes,2.0,100.911,27.483,39.896,33.532,MEDIUM,2.0,1.0,0,28.1,45.1,False,0,0,0,0
United States Grand Prix,ANT,Mercedes,2.0,101.43,27.854,40.202,33.374,MEDIUM,2.0,1.0,0,28.1,45.1,False,0,0,0,0
United States Grand Prix,SAI,Williams,2.0,101.311,27.828,39.965,33.518,MEDIUM,2.0,1.0,0,28.1,45.1,False,0,0,0,0
United States Grand Prix,BEA,Haas F1 Team,2.0,102.479,27.774,40.141,34.564,MEDIUM,2.0,1.0,0,28.1,45.1,False,0,0,0,0
